beat,stops,success,yield,contraband_discoveries
999 Unknown (Unknown),17868,269,0.0151,236
122 Pacific Beach (Northern),15113,860,0.0569,773
521 East Village (Central),12630,1601,0.1268,1537
313 Kearney Mesa (Eastern),6085,111,0.0182,92
611 Midway District (Western),5700,638,0.1119,615
315 Mission Valley East (Eastern),5476,278,0.0508,209
523 Gaslamp (Central),5353,311,0.0581,268
124 La Jolla (Northern),5047,124,0.0246,111
712 San Ysidro (Southern),4923,338,0.0687,303
524 Core-Columbia (Central),4707,579,0.123,560
242 Mira Mesa (Northeastern),4619,199,0.0431,141
511 Barrio Logan (Central),4279,298,0.0696,272
813 North Park (Mid-City),3826,198,0.0518,176
512 Logan Heights (Central),3370,269,0.0798,258
723 Otay Mesa West (Southern),3218,117,0.0364,90
115 University City (Northern),2947,96,0.0326,82
123 Mission Bay Park (Northern),2841,161,0.0567,108
121 Mission Beach (Northern),2823,209,0.074,193
614 Ocean Beach (Western),2737,334,0.122,320
627 Hillcrest (Western),2631,176,0.0669,163
311 Serra Mesa (Eastern),2461,83,0.0337,57
321 Grantville (Eastern),2455,101,0.0411,81
713 Otay Mesa (Southern),2448,61,0.0249,51
623 Mission Valley West (Western),2321,295,0.1271,284
621 Linda Vista (Western),2260,105,0.0465,87
446 Lincoln Park (Southeastern),2248,194,0.0863,189
934 Carmel Valley (Northwestern),2191,53,0.0242,43
441 Mountain View (Southeastern),2063,217,0.1052,207
111 Clairemont Mesa East (Northern),2033,127,0.0625,109
826 Colina Del Sol (Mid-City),1996,112,0.0561,109
114 North Clairemont (Northern),1914,115,0.0601,97
831 Teralta East (Mid-City),1902,133,0.0699,123
821 Rolando (Mid-City),1880,59,0.0314,52
437 Bay Terraces (Southeastern),1869,89,0.0476,81
531 Balboa Park (Central),1767,142,0.0804,135
714 Border (Southern),1614,87,0.0539,80
832 Teralta West (Mid-City),1594,68,0.0427,60
625 Old Town (Western),1577,178,0.1129,171
514 Sherman Heights (Central),1517,166,0.1094,156
243 Miramar (Northeastern),1495,29,0.0194,13
931 Sorrento Valley (Northwestern),1487,45,0.0303,35
622 Morena (Western),1455,74,0.0509,67
312 Tierra Santa (Eastern),1455,30,0.0206,22
721 Egger Highlands (Southern),1355,71,0.0524,60
233 Rancho Penasquitos (Northeastern),1352,29,0.0214,26
628 Midtown (Western),1301,26,0.02,25
116 Bay Park (Northern),1260,107,0.0849,91
541 Petco Park (Central),1250,202,0.1616,198
722 Nestor (Southern),1199,66,0.055,58
824 Talmadge (Mid-City),1192,51,0.0428,40
326 College West (Eastern),1169,23,0.0197,14
838 Corridor (Mid-City),1163,75,0.0645,63
724 Palm City (Southern),1157,108,0.0933,102
451 Oak Park (Southeastern),1122,89,0.0793,85
442 Southcrest (Southeastern),1111,73,0.0657,69
834 Castle (Mid-City),1068,71,0.0665,65
447 Ridgeview/Webster (Southeastern),1060,106,0.1,97
613 Point Loma Heights (Western),1054,73,0.0693,67
327 College East (Eastern),1048,34,0.0324,21
234 Rancho Bernardo (Northeastern),1045,21,0.0201,13
517 Golden Hill (Central),1013,65,0.0642,64
529 Park West (Central),979,82,0.0838,78
434 Jamacha/Lomita (Southeastern),975,55,0.0564,55
232 Carmel Mountain (Northeastern),961,42,0.0437,31
822 El Cerrito (Mid-City),959,30,0.0313,28
324 Lake Murray (Eastern),937,20,0.0213,3
432 Valencia Park (Southeastern),908,85,0.0936,79
937 Black Mountain Ranch (Northwestern),907,7,0.0077,6
811 Normal Heights (Mid-City),887,36,0.0406,31
443 Shelltown (Southeastern),880,71,0.0807,69
526 Cortez (Central),859,76,0.0885,69
433 Encanto (Southeastern),841,60,0.0713,53
113 Bay Ho (Northern),818,34,0.0416,25
436 Skyline (Southeastern),783,56,0.0715,52
438 Paradise Hills (Southeastern),775,95,0.1226,88
112 Clairemont Mesa West (Northern),756,31,0.041,28
515 Grant Hill (Central),751,57,0.0759,54
445 Chollas View (Southeastern),746,65,0.0871,60
444 Mt. Hope (Southeastern),744,77,0.1035,71
725 Ocean Crest (Southern),733,34,0.0464,29
522 Marina (Central),694,63,0.0908,59
624 University Heights (Western),677,49,0.0724,42
322 Allied Gardens (Eastern),660,18,0.0273,14
833 Fairmount Village (Mid-City),643,37,0.0575,32
516 Stockton (Central),618,43,0.0696,41
452 O'Farrell (Southeastern),600,30,0.05,26
825 Kensington (Mid-City),584,23,0.0394,19
241 Scripps Ranch (Northeastern),485,14,0.0289,9
431 Emerald Hills (Southeastern),480,34,0.0708,31
528 Little Italy (Central),476,35,0.0735,30
827 Chollas Creek (Mid-City),447,24,0.0537,20
823 Redwood Village (Mid-City),437,21,0.0481,20
314 Birdland (Eastern),430,21,0.0488,15
839 Cherokee Point (Mid-City),429,37,0.0862,34
618 Sunset Cliffs (Western),429,9,0.021,5
325 San Carlos (Eastern),425,12,0.0282,5
837 Fairmount Park (Mid-City),414,22,0.0531,20
231 Sabre Springs (Northeastern),396,10,0.0253,9
323 Del Cerro (Eastern),393,14,0.0356,13
933 Del Mar Heights (Northwestern),392,7,0.0179,6
615 Roseville/Fleet Ridge (Western),384,24,0.0625,22
935 North City (Northwestern),370,5,0.0135,2
836 Swan Canyon (Mid-City),347,19,0.0548,17
435 Broadway Heights (Southeastern),343,5,0.0146,5
835 Azalea/Hollywood Park (Mid-City),342,21,0.0614,19
527 Harborview (Central),320,43,0.1344,36
626 Mission Hills (Western),315,32,0.1016,29
612 Loma Portal (Western),310,15,0.0484,14
936 Torrey Highlands (Northwestern),279,6,0.0215,4
841 Rolando Park (Mid-City),265,24,0.0906,20
828 Fox Canyon (Mid-City),246,19,0.0772,17
932 Torrey Preserve (Northwestern),233,6,0.0258,4
814 Adams North (Mid-City),223,19,0.0852,16
316 Qualcomm (Eastern),219,3,0.0137,3
518 South Park (Central),209,20,0.0957,20
126 Torrey Pines (Northern),209,13,0.0622,9
525 Horton Plaza (Central),199,25,0.1256,21
246 Miramar Ranch North (Northeastern),191,15,0.0785,8
9999 Test (Test),170,4,0.0235,2
235 San Pasqual (Northeastern),110,2,0.0182,2
617 Wooded Area (Western),93,4,0.043,2
439 Alta Vista (Southeastern),91,1,0.011,1
711 Tijuana River Valley (Southern),55,5,0.0909,5
812 Burlingame (Mid-City),40,0,0.0,0
245 Rancho Encantada (Northeastern),28,1,0.0357,0
829 Islenair (Mid-City),17,0,0.0,0
125 La Jolla Village (Northern),11,1,0.0909,1
521,9,0,0.0,0
122,6,1,0.1667,0
934,6,0,0.0,0
999,5,0,0.0,0
722,4,2,0.5,2
313,4,0,0.0,0
242,3,0,0.0,0
241,3,0,0.0,0
822,3,0,0.0,0
611,2,1,0.5,1
524,2,1,0.5,1
614,2,1,0.5,1
623,2,0,0.0,0
838,2,0,0.0,0
712,2,0,0.0,0
834,2,0,0.0,0
512,2,0,0.0,0
813,2,0,0.0,0
446,2,0,0.0,0
315,2,0,0.0,0
114,2,0,0.0,0
121,1,1,1.0,1
931,1,0,0.0,0
713,1,0,0.0,0
625,1,0,0.0,0
124,1,0,0.0,0
322,1,0,0.0,0
511,1,0,0.0,0
115,1,0,0.0,0
613,1,0,0.0,0
234,1,0,0.0,0
723,1,0,0.0,0
839,1,0,0.0,0
541,1,0,0.0,0
529,1,0,0.0,0
826,1,0,0.0,0
531,1,0,0.0,0
937,1,0,0.0,0
628,1,0,0.0,0
311,1,0,0.0,0
831,1,0,0.0,0
321,1,0,0.0,0
627,1,0,0.0,0
444,1,0,0.0,0
